Name
Sunita KC
Shova Shrestha
Gita Bhattarai
Manisha Sharma
Sumitra Devkota
Komal Regmi
Rita Rai
Asmita Pradhan
Manisha Aryal
Gita Shrestha
Maya Pradhan
Lila Khatiwada
Gita Tamang
Dipika Khatiwada
Komal Ghimire
Shova Pandey
Pratima Thapa
Dipika Bhandari
Sunita Panta
Rupa Rijal
Bimala Dahal
Sneha Acharya
Susmita Bista
Manisha Pandey
Maya Pokhrel
Susmita Shrestha
Shova Magar
Sita Pradhan
Santoshi Bajracharya
Bimala Dhamala
Sumitra Ghimire
Sarita Acharya
Mina Gyawali
Kavita Thapa
Komal Pradhan
Maya Basnet
Lila Acharya
Kavita Sharma
Sneha Dhamala
Kalpana Aryal
Ranju Adhikari
Susmita Pandey
Mina Neupane
Lila Pokhrel
Sushila Magar
Sumitra Pandey
Rekha Bhattarai
Nisha Timilsina
Sarita Panta
Maya Ghimire
Pratima Magar
Lila Bista
Prabha Poudyal
Maya Adhikari
Asha Sharma
Shova KC
Rekha Pandey
Ranju Subedi
Rita Neupane
Asmita Karki
Sneha Regmi
Sita Bhandari
Prabha Basnet
Anita Bhandari
Manisha Dhamala
Dipika Karki
Sabina Bista
Asha Gyawali
Sanjita Pradhan
Anita Ghimire
Gita Dahal
Lila Magar
Radha Gyawali
Bina Adhikari
Santoshi Devkota
Mina Pokhrel
Sumitra Gurung
Rupa Aryal
Rupa Bajracharya
Rupa Dahal
Lila Timilsina
Sushila Pokhrel
Laxmi Sapkota
Mina Timilsina
Radha Thapa
Pooja Rijal
Bimala Bhandari
Sneha Neupane
Rupa Tamang
Sanjita Dhamala
Rupa Subedi
Sushila Rai
Pratima Basnet
Kusum Khatiwada
Roshani Timilsina
Prativa Shrestha
Manisha Thapa
Santoshi Basnet
Asha Aryal
Sunita Aryal
Ranju Chhetri
Radha Poudyal
Maya Khatri
Sneha Panta
Sita Subedi
Pooja Pradhan
Radha Dhamala
Rita Khatiwada
Asha Chhetri
Gauri Panta
Rekha Poudel
Rita Tamang
Sanjita Dahal
Santoshi Subedi
Bina Bista
Pooja Rai
Pooja Sapkota
Shova Bajracharya
