                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2333,                 2.4727,                 2.4006,                0.84593,                0.46688,                0.57235,                0.31776,                 1.8802,                 1.3027,                 2.2776,              8.004e-05,              8.004e-05,              8.004e-05
                      2,                 1.8026,                 1.2376,                 1.8494,                0.68107,                0.62426,                0.68063,                 0.3687,                 1.7306,                 1.1956,                 1.9392,              0.0001651,              0.0001651,              0.0001651
                      3,                 1.6859,                 1.1034,                 1.5473,                0.76795,                0.67038,                0.75167,                0.41973,                  1.729,                0.98489,                 1.6832,             0.00024844,             0.00024844,             0.00024844
                      4,                  1.588,                0.97211,                  1.429,                0.88426,                0.74656,                0.81025,                 0.4863,                 1.5874,                0.98504,                   1.56,             0.00033007,             0.00033007,             0.00033007
                      5,                 1.5096,                0.93392,                 1.3751,                0.89324,                0.74426,                0.81549,                0.48483,                 1.6289,                0.94194,                 1.5173,             0.00040998,             0.00040998,             0.00040998
                      6,                 1.4641,                0.86995,                 1.3535,                0.91132,                0.79232,                0.83657,                0.49319,                 1.5194,                0.91723,                 1.4791,             0.00048817,             0.00048817,             0.00048817
                      7,                 1.4903,                0.79508,                 1.3475,                0.88044,                0.77205,                  0.822,                0.46296,                  1.662,                0.93293,                 1.5078,             0.00056464,             0.00056464,             0.00056464
                      8,                  1.431,                0.76043,                 1.2853,                0.88158,                0.79269,                0.84714,                0.49736,                 1.5302,                0.90426,                 1.4811,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.3344,                0.72331,                 1.2524,                0.86251,                0.79815,                0.86357,                0.53846,                 1.4804,                0.79723,                 1.4461,             0.00061417,             0.00061417,             0.00061417
                     10,                 1.3399,                 0.7136,                 1.2498,                0.87004,                0.75902,                0.84906,                  0.506,                 1.5107,                0.86612,                 1.4751,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.3233,                0.68269,                 1.2415,                0.89214,                0.78505,                0.86437,                0.53125,                 1.5299,                0.81617,                 1.4761,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.2797,                0.65116,                 1.2237,                 0.8764,                0.83021,                0.84777,                0.53153,                 1.4645,                0.84913,                 1.4533,             0.00059436,             0.00059436,             0.00059436
