Year,Month,Date
२००१,०१,०१
२००१,०२,०६
२००१,०३,१४
२००१,०४,१९
२००१,०५,२५
२००१,०६,३०
२००१,०८,०५
२००१,०९,१०
२००१,१०,१६
२००१,११,२१
२००१,१२,२७
२००२,०२,०१
२००२,०३,०९
२००२,०४,१४
२००२,०५,२०
२००२,०६,२५
२००२,०७,३१
२००२,०९,०५
२००२,१०,११
२००२,११,१६
२००२,१२,२२
२००३,०१,२७
२००३,०३,०४
२००३,०४,०९
२००३,०५,१५
२००३,०६,२०
२००३,०७,२६
२००३,०८,३१
२००३,१०,०६
२००३,११,११
२००३,१२,१७
२००४,०१,२२
२००४,०२,२७
२००४,०४,०३
२००४,०५,०९
२००४,०६,१४
२००४,०७,२०
२००४,०८,२५
२००४,०९,३०
२००४,११,०५
२००४,१२,११
२००५,०१,१६
२००५,०२,२१
२००५,०३,२९
२००५,०५,०४
२००५,०६,०९
२००५,०७,१५
२००५,०८,२०
२००५,०९,२५
२००५,१०,३१
२००५,१२,०६
२००६,०१,११
२००६,०२,१६
२००६,०३,२४
२००६,०४,२९
२००६,०६,०४
२००६,०७,१०
२००६,०८,१५
२००६,०९,२०
२००६,१०,२६
२००६,१२,०१
२००७,०१,०६
२००७,०२,११
२००७,०३,१९
२००७,०४,२४
२००७,०५,३०
२००७,०७,०५
२००७,०८,१०
२००७,०९,१५
२००७,१०,२१
२००७,११,२६
२००८,०१,०१
२००८,०२,०६
२००८,०३,१३
२००८,०४,१८
२००८,०५,२४
२००८,०६,२९
२००८,०८,०४
२००८,०९,०९
२००८,१०,१५
२००८,११,२०
२००८,१२,२६
२००९,०१,३१
२००९,०३,०८
२००९,०४,१३
२००९,०५,१९
२००९,०६,२४
२००९,०७,३०
२००९,०९,०४
२००९,१०,१०
२००९,११,१५
२००९,१२,२१
२०१०,०१,२६
२०१०,०३,०३
२०१०,०४,०८
२०१०,०५,१४
२०१०,०६,१९
२०१०,०७,२५
२०१०,०८,३०
२०१०,१०,०५
२०१०,११,१०
२०१०,१२,१६
२०११,०१,२१
२०११,०२,२६
२०११,०४,०३
२०११,०५,०९
२०११,०६,१४
२०११,०७,२०
२०११,०८,२५
२०११,०९,३०
२०११,११,०५
२०११,१२,११
