                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7296,                 4.7075,                 2.8937,                0.24605,                  0.295,                0.24815,                0.13149,                 1.7443,                 18.713,                 1.9004,              9.282e-05,              9.282e-05,              9.282e-05
                      2,                   1.71,                 1.6316,                 1.5469,                0.68293,                0.94096,                  0.973,                0.69189,                 1.0769,                 1.4699,                 1.2133,             0.00018854,             0.00018854,             0.00018854
                      3,                 1.1827,                0.96904,                 1.1487,                0.74835,                0.91474,                0.88728,                0.71036,                0.98291,                0.89148,                 1.1176,             0.00027986,             0.00027986,             0.00027986
                      4,                  1.102,                0.77102,                 1.0219,                0.91227,                0.99942,                  0.995,                0.86574,                0.71033,                0.63432,                0.90924,             0.00036678,             0.00036678,             0.00036678
                      5,                 1.0829,                0.72703,                 1.0045,                0.85235,                0.93717,                0.98395,                 0.6905,                 1.2171,                0.73443,                0.95423,             0.00044931,             0.00044931,             0.00044931
                      6,                0.89022,                0.64204,                0.97481,                0.89881,                 0.9954,                  0.993,                0.69274,                 1.2076,                0.66021,                 0.9054,             0.00052743,             0.00052743,             0.00052743
                      7,                  0.815,                0.59111,                0.96152,                0.98844,                      1,                  0.995,                 0.7848,                0.99187,                0.73297,                0.91089,             0.00060116,             0.00060116,             0.00060116
                      8,                 0.9121,                0.58829,                0.95236,                0.98555,                      1,                  0.995,                0.83764,                 0.6574,                0.45082,                0.87997,             0.00060404,             0.00060404,             0.00060404
                      9,                0.82858,                0.56108,                0.93208,                0.97902,                      1,                  0.995,                  0.872,                0.53787,                0.42096,                0.83889,             0.00058834,             0.00058834,             0.00058834
                     10,                0.75133,                 0.5204,                0.92056,                 0.9919,                      1,                  0.995,                0.86858,                 0.5786,                 0.4074,                0.83428,             0.00057263,             0.00057263,             0.00057263
                     11,                0.73707,                0.50117,                0.90519,                 0.9782,                      1,                  0.995,                0.81198,                0.83828,                0.47711,                0.85404,             0.00055692,             0.00055692,             0.00055692
                     12,                 0.8082,                 0.5032,                 0.9576,                0.99116,                      1,                  0.995,                0.88582,                0.59801,                0.43363,                 0.8162,             0.00054121,             0.00054121,             0.00054121
                     13,                0.72711,                0.49515,                0.90513,                0.99452,                      1,                  0.995,                0.91448,                0.54723,                0.42161,                0.81352,              0.0005255,              0.0005255,              0.0005255
                     14,                0.67716,                0.46479,                 0.8928,                 0.9883,                      1,                  0.995,                0.88552,                0.49592,                0.41665,                0.80682,              0.0005098,              0.0005098,              0.0005098
                     15,                 0.6489,                0.44801,                0.89038,                0.99267,                      1,                  0.995,                0.95098,                0.34003,                0.33603,                 0.7964,             0.00049409,             0.00049409,             0.00049409
                     16,                0.65423,                0.44585,                0.88875,                0.99116,                      1,                  0.995,                0.94168,                0.41878,                0.31752,                0.80068,             0.00047838,             0.00047838,             0.00047838
                     17,                0.63817,                0.42821,                0.88572,                0.99376,                      1,                  0.995,                0.90742,                0.52663,                0.36209,                0.79326,             0.00046267,             0.00046267,             0.00046267
                     18,                0.64104,                0.42502,                0.87953,                0.99502,                      1,                  0.995,                0.89806,                0.52512,                0.36144,                0.80069,             0.00044696,             0.00044696,             0.00044696
                     19,                0.65032,                 0.4247,                0.87293,                0.99501,                      1,                  0.995,                0.96224,                0.32258,                0.30102,                0.77785,             0.00043126,             0.00043126,             0.00043126
                     20,                0.64993,                0.41114,                 0.8858,                0.99495,                      1,                  0.995,                0.92259,                0.44789,                0.33979,                0.78365,             0.00041555,             0.00041555,             0.00041555
                     21,                  0.653,                0.40852,                0.87992,                0.99463,                      1,                  0.995,                0.94479,                0.30067,                0.26351,                0.77456,             0.00039984,             0.00039984,             0.00039984
                     22,                0.62402,                0.40404,                0.87195,                0.99444,                      1,                  0.995,                0.92773,                0.47797,                0.30508,                 0.7791,             0.00038413,             0.00038413,             0.00038413
                     23,                0.63126,                0.41318,                0.87276,                0.98926,                      1,                  0.995,                0.94647,                0.36083,                 0.2736,                0.78816,             0.00036842,             0.00036842,             0.00036842
                     24,                0.57713,                0.39075,                0.87511,                0.99367,                      1,                  0.995,                0.94995,                0.32468,                0.27872,                0.78272,             0.00035272,             0.00035272,             0.00035272
                     25,                0.58774,                0.38539,                0.87552,                0.99517,                      1,                  0.995,                0.94045,                0.39978,                0.29118,                0.78399,             0.00033701,             0.00033701,             0.00033701
                     26,                0.61924,                 0.3858,                0.87464,                0.99467,                      1,                  0.995,                0.97219,                0.26166,                0.26327,                0.77018,              0.0003213,              0.0003213,              0.0003213
                     27,                0.61349,                0.38855,                0.87148,                0.99484,                      1,                  0.995,                0.89855,                0.54373,                0.33065,                0.77672,             0.00030559,             0.00030559,             0.00030559
                     28,                0.56414,                0.37087,                0.86116,                0.97996,                      1,                  0.995,                0.96066,                0.34749,                0.32771,                0.77282,             0.00028988,             0.00028988,             0.00028988
                     29,                0.55039,                0.36107,                0.86381,                0.97744,                      1,                  0.995,                0.95903,                0.36613,                0.34442,                0.77356,             0.00027418,             0.00027418,             0.00027418
                     30,                0.56312,                0.36376,                0.85753,                0.98756,                      1,                  0.995,                0.93805,                0.38235,                0.29472,                0.77148,             0.00025847,             0.00025847,             0.00025847
                     31,                0.51442,                0.34818,                  0.852,                 0.9899,                      1,                  0.995,                0.96428,                0.30175,                0.26276,                0.76396,             0.00024276,             0.00024276,             0.00024276
                     32,                 0.5039,                0.34101,                0.84953,                0.99513,                      1,                  0.995,                0.97996,                 0.2784,                0.25301,                0.76357,             0.00022705,             0.00022705,             0.00022705
                     33,                0.48643,                0.33316,                0.84246,                 0.9957,                      1,                  0.995,                0.95397,                  0.315,                0.26229,                0.76308,             0.00021134,             0.00021134,             0.00021134
                     34,                0.48864,                 0.3297,                0.84527,                0.99571,                      1,                  0.995,                0.96188,                0.31136,                0.25543,                0.76476,             0.00019564,             0.00019564,             0.00019564
                     35,                0.47602,                0.32791,                0.84445,                0.99611,                      1,                  0.995,                0.98044,                0.27242,                0.24001,                0.76114,             0.00017993,             0.00017993,             0.00017993
                     36,                0.44914,                0.31247,                0.82012,                 0.9946,                      1,                  0.995,                0.96605,                0.24685,                0.24579,                0.76541,             0.00016422,             0.00016422,             0.00016422
                     37,                0.42779,                0.29997,                0.82368,                 0.9955,                      1,                  0.995,                0.98952,                 0.2205,                0.23063,                0.75221,             0.00014851,             0.00014851,             0.00014851
                     38,                 0.4134,                0.28701,                0.80936,                 0.9944,                      1,                  0.995,                0.97826,                 0.2419,                0.23207,                0.75821,              0.0001328,              0.0001328,              0.0001328
                     39,                0.38801,                 0.2833,                 0.8087,                0.99374,                      1,                  0.995,                 0.9746,                0.23939,                0.24583,                0.75077,              0.0001171,              0.0001171,              0.0001171
                     40,                0.35937,                0.26947,                0.80375,                0.99746,                      1,                  0.995,                0.98859,                0.19659,                0.21615,                0.75009,             0.00010139,             0.00010139,             0.00010139
                     41,                0.34692,                0.26597,                0.79909,                0.99673,                      1,                  0.995,                0.98104,                0.22299,                 0.2243,                0.74891,              8.568e-05,              8.568e-05,              8.568e-05
                     42,                0.35528,                0.26586,                0.80331,                0.99533,                      1,                  0.995,                0.97094,                 0.2496,                0.23107,                0.75167,             6.9972e-05,             6.9972e-05,             6.9972e-05
                     43,                0.33292,                0.25836,                0.80341,                0.99586,                      1,                  0.995,                0.97432,                0.24426,                0.22723,                0.74946,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     44,                0.31328,                0.24755,                0.80233,                0.99662,                      1,                  0.995,                 0.9867,                0.20947,                0.21622,                0.75033,             3.8556e-05,             3.8556e-05,             3.8556e-05
                     45,                 0.3268,                0.25062,                0.79195,                0.99674,                      1,                  0.995,                0.98278,                0.22233,                0.22064,                0.74967,             2.2848e-05,             2.2848e-05,             2.2848e-05
