                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9998,                 1.9872,                 1.5912,                0.20047,                0.00093,                  2e-05,                  1e-05,                 3.9752,                 7.8754,                 12.037,               0.070345,               0.003295,               0.003295
                      2,                  1.456,                 1.0499,                 1.2427,                0.03893,                0.15741,                0.04941,                0.01983,                 3.7684,                 4.3989,                 4.3305,               0.040279,              0.0065627,              0.0065627
                      3,                  1.336,                0.92771,                 1.1627,                0.64977,                 0.7326,                 0.7585,                0.34508,                 2.0444,                 2.2111,                 2.1593,               0.010148,              0.0097644,              0.0097644
                      4,                 1.2424,                 0.8639,                 1.1372,                0.87441,                0.87899,                0.89531,                0.62833,                 1.3024,                 1.0895,                 1.2556,               0.009703,               0.009703,               0.009703
                      5,                 1.1664,                0.77629,                 1.0991,                0.87434,                0.97383,                0.98158,                0.75987,                0.98013,                0.93337,                 1.1737,               0.009604,               0.009604,               0.009604
                      6,                 1.1682,                0.75842,                 1.1074,                0.98611,                0.96699,                0.98691,                0.82346,                0.96132,                0.70318,                 1.1332,               0.009505,               0.009505,               0.009505
                      7,                 1.1047,                0.72766,                 1.0991,                0.94966,                0.88103,                 0.9809,                0.75521,                 1.0222,                0.73641,                 1.1855,               0.009406,               0.009406,               0.009406
                      8,                 1.0956,                0.69235,                 1.0783,                0.98593,                0.97881,                0.99327,                0.89467,                0.61367,                0.49805,                0.99096,               0.009307,               0.009307,               0.009307
                      9,                 1.0765,                0.67902,                 1.0603,                 0.9915,                0.94267,                0.96973,                0.79833,                0.90708,                0.92741,                 1.1582,               0.009208,               0.009208,               0.009208
                     10,                 1.0826,                0.69731,                 1.0834,                0.45757,                0.62222,                0.65416,                  0.429,                 1.4002,                 3.3823,                 1.3959,               0.009109,               0.009109,               0.009109
                     11,                 1.0373,                0.66364,                 1.0574,                0.56557,                0.77866,                0.70588,                0.49355,                 1.2806,                    inf,                 1.4595,                0.00901,                0.00901,                0.00901
