                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3317,                 3.6745,                  2.081,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070462,              0.0032821,              0.0032821
                      2,                  2.129,                 2.5056,                 1.8486,                      0,                      0,                      0,                      0,                 4.3939,                    inf,                 28.912,               0.040396,              0.0065499,              0.0065499
                      3,                 2.0834,                 2.1792,                 1.7672,                0.20849,                0.06209,                0.02134,                0.00482,                 3.4552,                 14.778,                 5.9378,               0.010265,              0.0097517,              0.0097517
                      4,                 1.9992,                 1.9535,                 1.6856,                 0.2257,                0.16039,                0.14364,                0.04246,                 3.0885,                 3.3152,                 2.5526,               0.009703,               0.009703,               0.009703
                      5,                 1.8954,                 1.8121,                 1.6277,                0.46667,                0.61212,                0.55109,                0.24356,                 1.8993,                 2.1913,                  1.619,               0.009604,               0.009604,               0.009604
                      6,                 1.8325,                 1.7157,                  1.573,                0.47844,                  0.049,                 0.0299,                0.00802,                 3.1005,                 5.1058,                 3.2103,               0.009505,               0.009505,               0.009505
                      7,                 1.8383,                  1.657,                 1.5736,                0.48123,                 0.6041,                0.56789,                0.20865,                 2.0206,                 2.0479,                 1.6891,               0.009406,               0.009406,               0.009406
                      8,                 1.7786,                 1.5526,                 1.5366,                0.71235,                0.58947,                0.67976,                0.30275,                 2.0048,                 1.6296,                 1.6485,               0.009307,               0.009307,               0.009307
                      9,                 1.7446,                 1.4798,                  1.522,                0.75519,                 0.6757,                0.79097,                0.39248,                 1.6713,                 1.3667,                 1.4709,               0.009208,               0.009208,               0.009208
                     10,                 1.7943,                 1.4748,                 1.5581,                0.74731,                0.78699,                0.84668,                0.38778,                 1.7817,                 1.3545,                 1.4855,               0.009109,               0.009109,               0.009109
                     11,                 1.7187,                 1.3775,                 1.5002,                0.72355,                0.82636,                 0.8354,                0.41839,                 1.6724,                 1.2099,                 1.4339,                0.00901,                0.00901,                0.00901
                     12,                 1.7376,                  1.391,                 1.5142,                 0.7859,                0.68395,                0.75943,                0.36418,                 1.7317,                 1.1933,                 1.4812,               0.008911,               0.008911,               0.008911
                     13,                 1.7094,                 1.3591,                 1.4888,                0.76112,                0.82932,                0.87423,                0.45742,                 1.5948,                 1.2019,                 1.3962,               0.008812,               0.008812,               0.008812
                     14,                 1.6785,                 1.3191,                 1.4689,                0.90673,                0.72753,                0.87883,                0.46405,                 1.6073,                 1.2837,                 1.4049,               0.008713,               0.008713,               0.008713
                     15,                 1.6955,                 1.3279,                 1.4822,                0.81976,                 0.7595,                0.86813,                0.45806,                 1.6071,                 1.1861,                 1.3909,               0.008614,               0.008614,               0.008614
                     16,                 1.6798,                 1.3245,                 1.4807,                 0.8421,                0.85464,                0.89417,                0.47894,                 1.6002,                 1.0947,                 1.3632,               0.008515,               0.008515,               0.008515
                     17,                 1.6623,                 1.2397,                 1.4474,                0.80384,                0.76829,                0.86972,                0.45893,                 1.6293,                 1.1074,                 1.3701,               0.008416,               0.008416,               0.008416
                     18,                 1.6628,                 1.2259,                 1.4441,                0.81586,                0.79032,                0.86461,                0.42808,                  1.645,                 1.0901,                 1.3741,               0.008317,               0.008317,               0.008317
                     19,                  1.631,                 1.2243,                 1.4218,                0.82601,                  0.779,                0.86047,                0.43863,                 1.6672,                 1.1215,                 1.3861,               0.008218,               0.008218,               0.008218
                     20,                 1.6641,                 1.2379,                 1.4567,                0.47297,                0.40386,                0.36644,                0.16462,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     21,                 1.6496,                  1.231,                 1.4533,                0.57305,                0.40367,                0.43547,                0.20562,                 2.0339,                 2.8648,                 1.6784,                0.00802,                0.00802,                0.00802
